2025-02-23 00:40:52,641: 'h'
2025-02-23 00:40:53,499: 'e'
2025-02-23 00:40:53,723: 'l'
2025-02-23 00:40:53,848: 'l'
2025-02-23 00:40:54,012: 'o'
2025-02-23 00:40:55,507: Key.space
2025-02-23 00:40:56,028: Key.caps_lock
2025-02-23 00:40:56,171: 'i'
2025-02-23 00:40:56,282: Key.caps_lock
2025-02-23 00:40:56,417: Key.space
2025-02-23 00:40:56,521: 'a'
2025-02-23 00:40:56,620: 'm'
2025-02-23 00:40:56,779: Key.space
2025-02-23 00:40:58,272: Key.space
2025-02-23 00:40:58,606: 'p'
2025-02-23 00:40:58,737: 'r'
2025-02-23 00:40:59,279: 'e'
2025-02-23 00:40:59,511: 'r'
2025-02-23 00:41:00,099: 'a'
2025-02-23 00:41:00,275: 'n'
2025-02-23 00:41:00,386: 'a'
2025-02-23 00:41:01,020: ','
2025-02-23 00:41:01,136: Key.space
2025-02-23 00:41:01,431: 't'
2025-02-23 00:41:01,589: 'h'
2025-02-23 00:41:01,661: 'i'
2025-02-23 00:41:01,908: 's'
2025-02-23 00:41:02,054: Key.space
2025-02-23 00:41:02,292: 'm'
2025-02-23 00:41:02,562: 'y'
2025-02-23 00:41:02,761: Key.space
2025-02-23 00:41:03,062: 'k'
2025-02-23 00:41:03,276: 'e'
2025-02-23 00:41:03,825: 'y'
2025-02-23 00:41:04,116: 'l'
2025-02-23 00:41:04,338: 'o'
2025-02-23 00:41:04,691: 'g'
2025-02-23 00:41:04,828: 'g'
2025-02-23 00:41:05,010: 'e'
2025-02-23 00:41:05,081: 'r'
2025-02-23 00:41:05,251: Key.space
2025-02-23 00:41:05,376: 's'
2025-02-23 00:41:05,581: 'c'
2025-02-23 00:41:05,842: 'r'
2025-02-23 00:41:06,009: 'i'
2025-02-23 00:41:06,169: 'p'
2025-02-23 00:41:06,358: 't'
2025-02-23 00:41:06,494: Key.space
2025-02-23 00:41:06,668: 'r'
2025-02-23 00:41:06,800: 'u'
2025-02-23 00:41:06,989: 'n'
2025-02-23 00:41:07,150: 'n'
2025-02-23 00:41:07,297: 'i'
2025-02-23 00:41:07,409: 'n'
2025-02-23 00:41:07,522: 'g'
2025-02-23 00:41:07,653: Key.space
2025-02-23 00:41:07,808: 'a'
2025-02-23 00:41:07,920: 'n'
2025-02-23 00:41:08,031: 'd'
